sku,product,pdf_listed,live_found,usable_image,status,pdf_was,pdf_now,live_was,live_now,product_url
90876,Foldable Shopping Bag - Xmas Botanicals,YES,YES,YES,IN_BOTH_USABLE,£6.00,£3.00,£6.00,£3.00,https://stevegiergiel.vivamknetwork.co.uk/foldable-shopping-bag-xmas-botanicals.html
90885,Decoir Mat - Ho Ho Ho,YES,YES,YES,IN_BOTH_USABLE,£16.00,£8.00,£16.00,£8.00,https://stevegiergiel.vivamknetwork.co.uk/decoir-mat-ho-ho-ho.html
90892,Glitter Tote Bag - Up to Snow Good,YES,YES,YES,IN_BOTH_USABLE,£9.00,£4.50,£9.00,£4.50,https://stevegiergiel.vivamknetwork.co.uk/glitter-tote-bag-up-to-snow-good.html
90893,Hot Water Bottle with Socks - Reindeer,YES,NO,NO,PDF_ONLY,£14.00,£7.00,,,
90894,Hot Water Bottle - Santa,YES,YES,YES,IN_BOTH_USABLE,£12.00,£6.00,£12.00,£6.00,https://stevegiergiel.vivamknetwork.co.uk/hot-water-bottle-santa.html
90895,Creative Crochet - Stocking,YES,YES,YES,IN_BOTH_USABLE,£10.00,£5.00,£10.00,£5.00,https://stevegiergiel.vivamknetwork.co.uk/creative-crochet-stocking.html
90918,Finger Puppets,YES,YES,YES,IN_BOTH_USABLE,£5.50,£2.75,£5.50,£2.75,https://stevegiergiel.vivamknetwork.co.uk/finger-puppets.html
90925,MYO Snow Globe,YES,YES,YES,IN_BOTH_USABLE,£10.00,£5.00,£10.00,£5.00,https://stevegiergiel.vivamknetwork.co.uk/myo-snow-globe.html
90930,Festive Fancy - King Size,YES,YES,YES,IN_BOTH_USABLE,£38.00,£19.00,£38.00,£19.00,https://stevegiergiel.vivamknetwork.co.uk/festive-fancy-king-size.html
90933,Cushion Cover - Fa La La,YES,YES,YES,IN_BOTH_USABLE,£9.00,£4.50,£9.00,£4.50,https://stevegiergiel.vivamknetwork.co.uk/cushion-cover-fa-la-la.html
90935,Christmas Ornaments - Double,YES,YES,YES,IN_BOTH_USABLE,£32.00,£16.00,£32.00,£16.00,https://stevegiergiel.vivamknetwork.co.uk/christmas-ornaments-double.html
90936,Christmas Ornaments - King Size,YES,YES,YES,IN_BOTH_USABLE,£38.00,£19.00,£38.00,£19.00,https://stevegiergiel.vivamknetwork.co.uk/christmas-ornaments-king-size.html
90938,Cushion Cover - Merry Deer,YES,YES,YES,IN_BOTH_USABLE,£9.00,£4.50,£9.00,£4.50,https://stevegiergiel.vivamknetwork.co.uk/cushion-cover-merry-deer.html
90942,Santa Please Stop Here - Single,YES,YES,YES,IN_BOTH_USABLE,£22.00,£11.00,£22.00,£11.00,https://stevegiergiel.vivamknetwork.co.uk/santa-please-stop-here-single.html
90943,Santa Please Stop Here - Double,YES,YES,YES,IN_BOTH_USABLE,£32.00,£16.00,£32.00,£16.00,https://stevegiergiel.vivamknetwork.co.uk/santa-please-stop-here-double.html
90945,Dinosaur Christmas Eve Box,YES,YES,YES,IN_BOTH_USABLE,£2.50,£1.25,£2.50,£1.25,https://stevegiergiel.vivamknetwork.co.uk/dinosaur-christmas-eve-box.html
90946,Fairy Christmas Eve Box,NO,YES,YES,LIVE_ONLY,,,£2.50,£1.25,https://stevegiergiel.vivamknetwork.co.uk/fairy-christmas-eve-box.html
