sku,product,was,now,saving,percent,product_url,description,image_url,image_file
90846,Velvet Bow - Tartan,£7.50,£3.75,£3.75,50%,https://stevegiergiel.vivamknetwork.co.uk/velvet-bow-tartan.html,"This selection of velvet bows is a great addition to the décor on your tree or around the home this season. Available in red or tartan, in a large 34cm & packs of 3 x 15cm, there’s a bow for everyone. The large bows have a metal hanging loop, and the smaller bows each come with a tie on the reverse.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90846.jpg,christmas_booklet_output\cache\90846.jpg
90847,Velvet Bows 3pk - Tartan,£5.00,£2.50,£2.50,50%,https://stevegiergiel.vivamknetwork.co.uk/velvet-bows-3pk-tartan.html,"This selection of velvet bows is a great addition to the décor on your tree or around the home this season. Available in red or tartan, in a large 34cm & packs of 3 x 15cm, there’s a bow for everyone. The large bows have a metal hanging loop, and the smaller bows each come with a tie on the reverse.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90847.jpg,christmas_booklet_output\cache\90847.jpg
90848,LED Bauble Ornament - Red,£12.00,£6.00,£6.00,50%,https://stevegiergiel.vivamknetwork.co.uk/led-bauble-ornament-red.html,This vibrant red bauble has a metallic top and internal LED fairy lights for a warm glow. It can be hung from a tree or free-standing to decorate your tabletop. Mercury glass. Comes boxed. Requires 3 x AAA batteries (not included). H14 x Diam. 9.5cm. AAA batteries are available in packs of 10 on code 13459 for only £3 / €3.60.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90848.jpg,christmas_booklet_output\cache\90848.jpg
90849,Solo Candle Holder - Festive Fir,£7.50,£3.75,£3.75,50%,https://stevegiergiel.vivamknetwork.co.uk/solo-candle-holder-festive-fir.html,"Decorate dining tables, mantlepieces and windowsills with a selection of gorgeous candle holders, available as a single or triple, in two different designs - Festive Fir or Frost. Festive Fir is packed with rustic red and gold pinecones, stars, foliage and baubles. The frost collection features frosted cones, berries, bells, stars and foliage. Dried natural materials, plastic & glass tealight holders. Solo: H8 x diam. 15cm. Trio: H9 x W36 x D15cm. Tealights not included.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90849.jpg,christmas_booklet_output\cache\90849.jpg
90851,Trio Candle Holder - Festive Fir,£15.00,£7.50,£7.50,50%,https://stevegiergiel.vivamknetwork.co.uk/trio-candle-holder-festive-fir.html,"Decorate dining tables, mantlepieces and windowsills with a selection of gorgeous candle holders, available as a single or triple, in two different designs - Festive Fir or Frost. Festive Fir is packed with rustic red and gold pinecones, stars, foliage and baubles. The frost collection features frosted cones, berries, bells, stars and foliage. Dried natural materials, plastic & glass tealight holders. Solo: H8 x diam. 15cm. Trio: H9 x W36 x D15cm. Tealights not included.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90851.jpg,christmas_booklet_output\cache\90851.jpg
90852,Trio Candle Holder - Frost,£15.00,£7.50,£7.50,50%,https://stevegiergiel.vivamknetwork.co.uk/trio-candle-holder-frost.html,"Decorate dining tables, mantlepieces and windowsills with a selection of gorgeous candle holders, available as a single or triple, in two different designs - Festive Fir or Frost. Festive Fir is packed with rustic red and gold pinecones, stars, foliage and baubles. The frost collection features frosted cones, berries, bells, stars and foliage. Dried natural materials, plastic & glass tealight holders. Solo: H8 x diam. 15cm. Trio: H9 x W36 x D15cm. Tealights not included.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90852.jpg,christmas_booklet_output\cache\90852.jpg
90859,Pet Cracker - Dog (Red),£3.50,£1.75,£1.75,50%,https://stevegiergiel.vivamknetwork.co.uk/pet-cracker-dog-red.html,"Get your family pets involved in a beloved Christmas tradition with a choice of two dog crackers, white or red, and one cat cracker. Each cracker contains a toy. No bang. Length of each: 14”",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90859.jpg,christmas_booklet_output\cache\90859.jpg
90862,Giant Cracker - Paw Patrol,£9.00,£4.50,£4.50,50%,https://stevegiergiel.vivamknetwork.co.uk/giant-cracker-paw-patrol.html,"These fabulous giant crackers, in Wicked or Paw Patrol designs, contain a variety of activities for children this Christmas. A great gift! Each cracker contains: 2 x colouring sheets, 1 x puzzle, 4 x felt tips or crayons, 1 x sticker sheet and a surprise. Comes gift boxed. Length of each cracker: 21”",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90862.jpg,christmas_booklet_output\cache\90862.jpg
90865,Confetti Bows 20pk,£3.00,£1.50,£1.50,50%,https://stevegiergiel.vivamknetwork.co.uk/confetti-bows-20pk.html,"This bumper pack of 20 bows comes in 3 assorted colours: 7 x Red, 7 x Gold, & 6 x Green. Diam. of each bow: 5cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90865.jpg,christmas_booklet_output\cache\90865.jpg
90876,Foldable Shopping Bag - Xmas Botanicals,£6.00,£3.00,£3.00,50%,https://stevegiergiel.vivamknetwork.co.uk/foldable-shopping-bag-xmas-botanicals.html,"A foldable Christmas shopping bag in a stunning Christmas botanicals design, featuring poinsettias, baubles, candy canes and bows. Folds into the clip-on pouch for compact, easy storage when not in use. L44 x W42cm. Pouch size: L11 x W13.5cm. Made from recycled plastic bottles.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90876.jpg,christmas_booklet_output\cache\90876.jpg
