sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
13919,Bronzing Glow Drops,£6.00,£4.50,£1.50,25%,https://stevegiergiel.vivamknetwork.co.uk/bronzing-glow-drops.html,"The hydrating formula cares from the base up, adding instant radiance. It’s packed with moisturising hero, hyaluronic acid and gently resurfacing papaya to create a photo-worthy bronzy illumination. 30ml. Vegan.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13919.jpg,output\mega_sale\cache\images\13919.jpg,output\mega_sale\cache\images\13919_qr.png,,active,
13908,Ceramide Moisturising Cream SPF30,£8.00,£6.00,£2.00,25%,https://stevegiergiel.vivamknetwork.co.uk/ceramide-moisturing-cream-spf30.html,"Our ultra-light gel cream works throughout the day to deliver instant, continuous hydration for smooth and dewy skin. With a broad-spectrum SPF30 sunscreen, it protects against UVA rays all year round. Includes 5 ceramides, plus hyaluronic acid & niacinamide. Dermatologically tested. Fragrance-free. Vegan. 50ml.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13908.jpg,output\mega_sale\cache\images\13908.jpg,output\mega_sale\cache\images\13908_qr.png,,active,
14319,Ceramide Oil Control Cleanser,£5.50,£4.00,£1.50,27%,https://stevegiergiel.vivamknetwork.co.uk/ceramide-oil-control-cleanser.html,"Target oil-prone skin with the oil-control foaming cleanser. It is infused with a blend of 5 ceramides, hydrating hyaluronic acid and pore-refining niacinamide to effectively remove impurities and excess oil without stripping moisture, leaving skin feeling refreshed and balanced. Fragrance free. Dermatologically tested. Vegan. 200ml.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14319.jpg,output\mega_sale\cache\images\14319.jpg,output\mega_sale\cache\images\14319_qr.png,,active,
14318,Ceramide Oil Control Toner,£5.50,£4.00,£1.50,27%,https://stevegiergiel.vivamknetwork.co.uk/ceramide-oil-control-toner.html,"Target oil-prone skin with the oil-control hydrating toner. Infused with a blend of 5 ceramides, hydrating hyaluronic acid and pore-refining niacinamide, it helps tone skin and balance excess oil production while strengthening the skin's natural moisture barrier, ensuring a healthy, radiant complexion. Fragrance-free. Dermatologically tested. Vegan. 200ml.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14318.jpg,output\mega_sale\cache\images\14318.jpg,output\mega_sale\cache\images\14318_qr.png,,active,
12929,Collapsible Makeup Brush Cleaning Bowl,£6.00,£3.50,£2.50,42%,https://stevegiergiel.vivamknetwork.co.uk/collapsible-makeup-brush-cleaning-bowl.html,This practical cleaning bowl is a must have for any makeup lover. It’s the perfect tool to keep makeup brushes and blenders clean. Simply add a cleanser or gentle soap to warm water and rub your brush/blender over the raised area. Collapsible for easy storage. Silicone. Size: L14.5 x W11 x D5cm (folded D2cm).,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/2/12929.jpg,output\mega_sale\cache\images\12929.jpg,output\mega_sale\cache\images\12929_qr.png,,active,
11978,Comfi Kneeler,£7.50,£5.50,£2.00,27%,https://stevegiergiel.vivamknetwork.co.uk/comfi-kneeler.html,Take the strain out of gardening with this comfortable kneeler cushion. Multitude of uses in the garden and home. 2.5cm cushion. EVA. Size: L40 x W20 x D2.5cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/1/11978_3.jpg,output\mega_sale\cache\images\11978.jpg,output\mega_sale\cache\images\11978_qr.png,,active,
13461,Deluxe Wall Plaque - Hummingbird,£10.00,£7.50,£2.50,25%,https://stevegiergiel.vivamknetwork.co.uk/deluxe-wall-plaque-hummingbird.html,"Pretty metal Hummingbird plaque for walls or fences, with intricate detailing. This metal plaque has colourful glass gems with a polished metallic finish. H38 x W35cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13461_1.jpg,output\mega_sale\cache\images\13461.jpg,output\mega_sale\cache\images\13461_qr.png,,active,
14385,Denim Reviver Sheets 12pk,£3.00,£1.50,£1.50,50%,https://stevegiergiel.vivamknetwork.co.uk/denim-reviver-sheets-12pk.html,Help slow down in-wash fading on denim garments with the miracle denim sheets. Simply pop into the drum with your garments. Large loads may require two sheets. 12 sheets.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14385.jpg,output\mega_sale\cache\images\14385.jpg,output\mega_sale\cache\images\14385_qr.png,,active,
13123,Dino Plaque,£12.00,£7.00,£5.00,42%,https://stevegiergiel.vivamknetwork.co.uk/dino-plaque.html,"This plaque is a warm, friendly, pastel illustration of a dinosaur alongside the wording, ‘Roar’ and ‘Big and brave’. An original item packed full of dinosaur charm. H13 x W26.5 x D3cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/c/g/cg1964_600x.jpg,output\mega_sale\cache\images\13123.jpg,output\mega_sale\cache\images\13123_qr.png,,active,
13661,Dino Track,£9.00,£6.50,£2.50,28%,https://stevegiergiel.vivamknetwork.co.uk/dino-track.html,Create a roarsome track with this Dino Track set. It includes one dino head car and 27 track pieces that can be built into different layouts. Plastic. Requires 1 x AA battery (not included). Size of dino head car: L8.5 x W4cm. Suitable for ages 3+. AA batteries are available in packs of 10 on code 13458 for only £3 / €3.60.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13661.jpg,output\mega_sale\cache\images\13661.jpg,output\mega_sale\cache\images\13661_qr.png,,active,
